feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
MEDICAL_RECORD.ACNE_PLACES.INCLUDES_FACE,HISTORIA_MEDICA.ACNE_LUGARES.INC_CARA,19,553,56,495,0.00000777,0.00353,0.969,0.00000115,0.00000263,-1.049,0.000159,0.182,0.434,0.00144,0.00588,-0.021,0.000000144,0.000000784,0.101,0.0376,0.133,10.16%,3.32%,-0.068
MEDICAL_RECORD.ACNE_PLACES.N,HISTORIA_MEDICA.ACNE_LUGARES.N,51,455,24,588,0.00007,0.0109,-1.223,0.00000000187,0.00000000604,0.847,0.00124,0.357,-0.53,0.000144,0.000677,0.023,0.00000000489,0.0000000328,-0.133,0.00713,0.036,3.92%,10.08%,0.062
MEDICAL_RECORD.ACNE_PLACES.C,HISTORIA_MEDICA.ACNE_LUGARES.C,19,519,56,524,0.0000719,0.0109,0.555,0.00454,0.00646,-0.962,0.000491,0.282,0.361,0.00727,0.0253,-0.014,0.000245,0.000696,0.074,0.122,0.316,9.66%,3.53%,-0.061
PERC_PHYSICAL.GRAYWHITE_HAIR.above_2,PERC_FISICA.CANAS.above_2,32,267,43,778,0.00192,0.187,-8.291,0,0,0.348,0.258,1,0.529,0.00397,0.015,0.129,0,0,0.108,0.0971,0.266,5.24%,10.70%,0.055
FRACTURES.FALL_FRACTURES_5,FRACTURAS.FRACTURAS_CAIDAS_5,0,64,6,32,0.00205,0.187,0.732,0.348,0.387,-27.605,1,1,-0.262,0.552,0.731,0.001,0.93,0.955,0.072,0.695,0.86,15.79%,0.00%,-0.158
PERC_PHYSICAL.GRAYWHITE_HAIR.above_1,PERC_FISICA.CANAS.above_1,50,505,25,540,0.00319,0.242,-6.557,0,0,0.133,0.684,1,-0.034,0.852,0.925,0.133,0,0,0.006,0.933,0.974,4.42%,9.01%,0.046
REPRODUCTIVE_HEALTH.MENOPAUSE,SALUD_REPRODUCTIVA.MENOPAUSIA,35,339,17,390,0.00582,0.378,-12.726,9.53E-36,7.81E-34,0.275,0.576,1,,,,0.26,2.53E-37,3.23E-35,0.117,0.274,0.533,4.18%,9.36%,0.052
INBODY.BFM_PC__of_Right_Leg.above_215.15,INBODY.BFM_PC__of_Right_Leg.above_215·15,48,494,26,521,0.0102,0.493,-0.77,0.000114,0.000203,0.556,0.0288,0.916,-0.026,0.85,0.924,0.015,0.00014,0.000419,0.072,0.136,0.341,4.75%,8.86%,0.041
INBODY.InBody_Score.above_67,INBODY.InBody_Score.above_67,9,255,65,760,0.011,0.493,-0.129,0.567,0.606,-0.678,0.068,1,0.968,2.95E-10,0.00000000228,-0.028,0.00000000441,0.0000000298,-0.053,0.366,0.627,7.88%,3.41%,-0.045
MEDICAL_RECORD.PERIPHERAL__ARTERIAL_DIS,HISTORIA_MEDICA.ENF_ARTERIAL_PERIF,14,96,61,952,0.0133,0.493,-4.698,7.95E-28,3.14E-26,0.53,0.105,1,-0.638,0.00901,0.0302,0.049,4.14E-11,3.57E-10,0.01,0.895,0.959,6.02%,12.73%,0.067
DISEASE_FAMILY_MEMBERS.SIBLINGS_INFARCTION,ENFERMEDAD_FAMILIARES.HERMANOS_INFARTO,7,34,65,975,0.0156,0.493,-5.316,9.75E-17,8.49E-16,0.947,0.0337,0.916,-0.478,0.206,0.368,0.039,0.000431,0.00118,0.283,0.0135,0.059,6.25%,17.07%,0.108
REPRODUCTIVE_HEALTH.LACTATION,SALUD_REPRODUCTIVA.LACTANCIA,40,587,13,80,0.0161,0.493,2.39,8.02E-10,0.00000000272,-0.808,0.0192,0.882,,,,-0.008,0.273,0.365,0.025,0.781,0.909,13.98%,6.38%,-0.076
REPRODUCTIVE_HEALTH.LACTATION_MONTHS.above_15,SALUD_REPRODUCTIVA.LACTANCIA_MESES.above_15,17,142,23,446,0.0166,0.493,-0.576,0.0561,0.0703,0.912,0.00723,0.882,,,,-0.012,0.0525,0.0919,-0.156,0.0519,0.171,4.90%,10.69%,0.058
INBODY.BFM_PC__of_Left_Leg.above_214.25,INBODY.BFM_PC__of_Left_Leg.above_214·25,47,493,27,522,0.0182,0.493,-0.76,0.000136,0.000239,0.502,0.0468,1,-0.032,0.812,0.903,0.015,0.000175,0.000513,0.068,0.156,0.375,4.92%,8.70%,0.038
REPRODUCTIVE_HEALTH.DEAD_BORN_CHILDREN.above_1,SALUD_REPRODUCTIVA.HIJOS_NACIDOS_MUERTOS.above_1,4,12,49,718,0.0185,0.493,-4.236,0.000000571,0.00000138,1.487,0.0157,0.882,,,,0.001,0.934,0.959,-0.419,0.0629,0.195,6.39%,25.00%,0.186
MEDICAL_RECORD.FOLLOW_TREATS_WEIGHT,HISTORIA_MEDICA.SIGUIO_TRAT_PESO,11,290,64,758,0.0203,0.493,-0.577,0.00815,0.0113,-0.73,0.031,0.916,-0.595,0.000239,0.0011,-0.006,0.178,0.255,0.276,0.000000443,0.0000154,7.79%,3.65%,-0.041
INBODY.FFM_PC__of_Left_Leg.above_85.1,INBODY.FFM_PC__of_Left_Leg.above_85·1,27,517,47,498,0.0226,0.493,2.043,1.65E-20,2.37E-19,-0.253,0.338,1,0.593,0.0000449,0.000223,-0.045,6.24E-25,2.75E-23,0.046,0.366,0.627,8.62%,4.96%,-0.037
ANTHROPOMETRY.HEIGHT.above_156.7,ANTROPOMETRIA.ESTATURA.above_156·7,27,520,48,515,0.0237,0.493,1.186,0.00000206,0.00000453,-0.614,0.0861,1,4.23,0,0,-0.045,1.26E-16,2.26E-15,0.194,0.00262,0.0171,8.53%,4.94%,-0.036
REPRODUCTIVE_HEALTH.BIRTHS.above_4,SALUD_REPRODUCTIVA.PARTOS.above_4,11,72,42,658,0.0241,0.493,-7.472,1.85E-27,6.83E-26,0.394,0.333,1,,,,0.095,9.34E-18,1.95E-16,-0.199,0.0457,0.156,6.00%,13.25%,0.073
REPRODUCTIVE_HEALTH.MENSTRUAL_DAYS.above_3,SALUD_REPRODUCTIVA.DIAS_MENSTRUALES.above_3,32,549,21,180,0.0252,0.493,2.556,4.81E-18,5.01E-17,-0.501,0.0964,1,,,,-0.03,0.000000116,0.000000642,-0.042,0.527,0.747,10.45%,5.51%,-0.049
PERC_PHYSICAL.GRAY_HAIRS_AGE.above_50,PERC_FISICA.CANAS_EDAD.above_50,14,89,47,645,0.0264,0.493,-8.245,1.93E-27,6.94E-26,0.53,0.14,1,-0.022,0.929,0.979,0.103,9.28E-19,2.09E-17,0.098,0.223,0.473,6.79%,13.59%,0.068
INBODY.WHR_Waist_Hip_Ratio.above_0.93,INBODY.WHR_Waist_Hip_Ratio.above_0·93,61,707,13,308,0.0281,0.493,0.424,0.0466,0.0588,0.614,0.0537,1,-0.707,0.000000813,0.00000473,0.013,0.00176,0.00424,0.008,0.886,0.959,4.05%,7.94%,0.039
INBODY.Height.above_156.5,INBODY.Height.above_156·5,27,511,47,504,0.0291,0.493,1.268,0.000000543,0.00000132,-0.561,0.115,1,4.123,0,0,-0.047,4.57E-17,9.19E-16,0.22,0.000649,0.0061,8.53%,5.02%,-0.035
REPRODUCTIVE_HEALTH.LACTATION_MONTHS.above_8,SALUD_REPRODUCTIVA.LACTANCIA_MESES.above_8,26,270,14,318,0.0296,0.493,0.282,0.293,0.331,0.83,0.0162,0.882,,,,-0.009,0.0881,0.141,-0.13,0.0553,0.179,4.22%,8.78%,0.046
REPRODUCTIVE_HEALTH.MENSTRUAL_DAYS.above_5,SALUD_REPRODUCTIVA.DIAS_MENSTRUALES.above_5,9,229,44,500,0.0299,0.493,0.162,0.512,0.552,-0.675,0.0748,1,,,,-0.02,0.0000835,0.000262,-0.097,0.139,0.346,8.09%,3.78%,-0.043
MEDICAL_RECORD.ACNE_PLACES.E,HISTORIA_MEDICA.ACNE_LUGARES.E,5,22,70,1021,0.0299,0.493,-3.102,0.000000264,0.00000067,1.382,0.00856,0.882,0.211,0.614,0.77,-0.018,0.145,0.216,0.153,0.322,0.585,6.42%,18.52%,0.121
MEDICAL_RECORD.DEPRESSION_ANXIETY,HISTORIA_MEDICA.DEPRESION_ANSIEDAD,5,171,69,877,0.0302,0.493,-1.305,0.000000616,0.00000148,-0.925,0.0509,1,-0.556,0.00538,0.0195,-0.005,0.375,0.469,0.177,0.00594,0.0313,7.29%,2.84%,-0.045
CLINICAL_METABOLIC_TEST.LDL.above_60,METABOLICOS.LDL.above_60,59,687,16,358,0.0303,0.493,0.195,0.336,0.375,0.55,0.0609,1,-0.555,0.0000561,0.000276,0.013,0.00104,0.00264,-0.004,0.942,0.976,4.28%,7.91%,0.036
INBODY.BFM_PC__of_Left_Leg.above_168.03,INBODY.BFM_PC__of_Left_Leg.above_168·03,64,760,10,255,0.0351,0.551,0.477,0.0322,0.0416,0.642,0.067,1,-0.283,0.0654,0.158,0.015,0.00101,0.00257,0.035,0.533,0.75,3.77%,7.77%,0.04
INBODY.FFM_of_Left_Leg.above_5.11,INBODY.FFM_of_Left_Leg.above_5·11,48,775,26,240,0.0375,0.554,2.875,2.66E-23,5.09E-22,-0.275,0.352,1,3.209,9.12E-21,1.33E-19,-0.044,7.99E-16,1.27E-14,0.211,0.00109,0.00907,9.77%,5.83%,-0.039
DISEASE_FAMILY_MEMBERS.FATHER_OTHER_DISEASE,ENFERMEDAD_FAMILIARES.PADRE_OTRA_ENFERMEDAD,2,105,64,814,0.0377,0.554,-2.881,2.38E-16,1.9E-15,-1.453,0.0458,1,-0.182,0.438,0.621,0.017,0.0104,0.0219,0.22,0.00421,0.0243,7.29%,1.87%,-0.054
MEDICAL_RECORD.OTITIS,HISTORIA_MEDICA.OTITIS,15,120,59,924,0.0399,0.568,-1.862,3.78E-10,0.00000000131,0.714,0.0213,0.882,-0.51,0.022,0.0642,-0.002,0.79,0.848,0.14,0.0524,0.172,6.00%,11.11%,0.051
MEDICAL_RECORD.DIABETES,HISTORIA_MEDICA.DIABETES,27,259,48,789,0.0424,0.574,-3.478,7.71E-36,6.8E-34,0.23,0.383,1,-0.308,0.0551,0.138,0.048,1.96E-21,5.92E-20,0.004,0.939,0.975,5.73%,9.44%,0.037
ANTHROPOMETRY.HEIGHT.above_151,ANTROPOMETRIA.ESTATURA.above_151,48,779,27,256,0.0429,0.574,2.617,5.46E-21,8.13E-20,-0.281,0.349,1,4.333,6.84E-17,7.42E-16,-0.042,7.46E-15,9.61E-14,0.256,0.0000944,0.00135,9.54%,5.80%,-0.037
VISUAL_HEALTH.GLASSES_AGE.above_45,SALUD_VISUAL.ANTEOJOS_EDAD.above_45,25,240,16,307,0.05,0.644,-5.373,2.08E-23,4.04E-22,0.025,0.947,1,-0.333,0.132,0.271,0.096,1.88E-23,7.2E-22,-0.226,0.00354,0.021,4.95%,9.43%,0.045
INBODY.Height.above_150.9,INBODY.Height.above_150·9,48,769,26,246,0.051,0.644,2.85,1.1E-22,1.96E-21,-0.229,0.45,1,4.054,5.86E-18,6.84E-17,-0.046,4.06E-16,6.75E-15,0.269,0.0000544,0.00096,9.56%,5.88%,-0.037
INBODY.BFM_PC__of_Left_Arm.above_228.68,INBODY.BFM_PC__of_Left_Arm.above_228·68,63,759,11,256,0.063,0.754,0.084,0.705,0.736,0.464,0.171,1,-0.325,0.0353,0.0968,0.024,0.000000291,0.00000153,0.059,0.304,0.565,4.12%,7.66%,0.035
INBODY.BFM_PC__of_Right_Leg.above_168.5,INBODY.BFM_PC__of_Right_Leg.above_168·5,63,759,11,256,0.063,0.754,0.47,0.0345,0.0445,0.538,0.111,1,-0.244,0.112,0.239,0.015,0.00118,0.00295,0.036,0.523,0.744,4.12%,7.66%,0.035
MEDICAL_RECORD.GAIT_DISTURBANCE,HISTORIA_MEDICA.ALTERACION_MARCHA,12,93,63,952,0.0668,0.77,-4.307,1.22E-25,3.05E-24,0.421,0.217,1,0.018,0.934,0.982,0.038,0.00000013,0.000000712,-0.02,0.803,0.918,6.21%,11.43%,0.052
INBODY.BFM_PC__of_Right_Arm.above_225.38,INBODY.BFM_PC__of_Right_Arm.above_225·38,63,761,11,254,0.0678,0.77,0.129,0.562,0.601,0.456,0.179,1,-0.409,0.00779,0.0269,0.023,0.000000375,0.00000192,0.07,0.226,0.478,4.15%,7.65%,0.035
INBODY.BFM_PC__of_Trunk.above_281.55,INBODY.BFM_PC__of_Trunk.above_281·55,63,762,11,253,0.0704,0.77,0.397,0.0747,0.0927,0.497,0.143,1,-0.417,0.00634,0.0227,0.018,0.0000954,0.000294,0.04,0.479,0.709,4.17%,7.64%,0.035
REPRODUCTIVE_HEALTH.BIRTHS.above_2,SALUD_REPRODUCTIVA.PARTOS.above_2,25,248,28,482,0.0723,0.77,-3.418,1.54E-28,6.56E-27,0.135,0.665,1,,,,0.057,4.33E-22,1.5E-20,-0.161,0.016,0.0673,5.49%,9.16%,0.037
CLINICAL_METABOLIC_TEST.LDL.above_80,METABOLICOS.LDL.above_80,41,453,34,592,0.074,0.77,-1.051,0.000000157,0.000000408,0.317,0.194,1,-0.437,0.00133,0.00546,0.019,0.00000174,0.000008,0.049,0.304,0.565,5.43%,8.30%,0.029
ANTHROPOMETRY.PROTHESIS,ANTROPOMETRIA.TIENE_PROTESIS,3,12,72,1024,0.0747,0.77,-9.088,5.36E-10,0.00000000184,0.865,0.203,1,0.36,0.503,0.685,0.077,0.000521,0.00141,-0.131,0.492,0.72,6.57%,20.00%,0.134
MEDICAL_RECORD.NOCTURIA,HISTORIA_MEDICA.NICTURIA,22,210,53,836,0.0777,0.77,-2.851,9.15E-26,2.33E-24,0.283,0.298,1,-0.18,0.28,0.457,0.03,0.00000000137,0.00000000991,-0.046,0.431,0.671,5.96%,9.48%,0.035
DISEASE_FAMILY_MEMBERS.SIBLINGS_DIABETES,ENFERMEDAD_FAMILIARES.HERMANOS_DIABETES,28,278,46,731,0.0779,0.77,-3.066,1.15E-31,6.28E-30,0.16,0.542,1,-0.308,0.0521,0.132,0.044,2.31E-19,5.63E-18,-0.017,0.747,0.892,5.92%,9.15%,0.032
DISEASE_FAMILY_MEMBERS.FATHER_TRIGLYCERIDES,ENFERMEDAD_FAMILIARES.PADRE_TRIGLICERIDOS,2,97,63,845,0.0804,0.772,-0.884,0.00589,0.00828,-1.045,0.154,1,0.127,0.592,0.757,-0.031,0.0000112,0.0000444,0.227,0.00697,0.0354,6.94%,2.02%,-0.049
REPRODUCTIVE_HEALTH.PREGNANCY_HIGH_PRESSURE,SALUD_REPRODUCTIVA.EMBARAZO_PRESION_ALTA,4,114,49,554,0.082,0.772,-0.113,0.731,0.761,-0.669,0.213,1,,,,-0.033,0.00000429,0.0000181,0.162,0.0603,0.191,8.13%,3.39%,-0.047
INBODY.FFM_of_Left_Arm.above_2.3,INBODY.FFM_of_Left_Arm.above_2·3,29,511,45,504,0.0832,0.772,0.401,0.0752,0.0933,-0.402,0.177,1,2.733,0,0,-0.023,0.000000786,0.00000384,0.113,0.0454,0.156,8.20%,5.37%,-0.028
MEDICAL_RECORD.DIET_TREATMENT,HISTORIA_MEDICA.TRATAMIENTO_DIETA,8,159,16,142,0.0886,0.783,0.856,0.0874,0.107,-0.714,0.117,1,-0.494,0.0481,0.125,-0.011,0.217,0.301,0.018,0.834,0.933,10.13%,4.79%,-0.053
REPRODUCTIVE_HEALTH.MENSTRUAL_DAYS.above_6,SALUD_REPRODUCTIVA.DIAS_MENSTRUALES.above_6,7,177,46,552,0.0917,0.783,-0.193,0.465,0.504,-0.61,0.146,1,,,,-0.021,0.000247,0.0007,-0.105,0.143,0.353,7.69%,3.80%,-0.039
INBODY.FFM_of_Right_Leg.above_5.21,INBODY.FFM_of_Right_Leg.above_5·21,48,756,26,259,0.0929,0.783,2.676,1.08E-21,1.67E-20,-0.148,0.618,1,3.232,1.4E-22,2.17E-21,-0.043,1.52E-15,2.26E-14,0.255,0.0000716,0.00116,9.12%,5.97%,-0.032
REPRODUCTIVE_HEALTH.CHILDREN_BORN_ALIVE.above_2,SALUD_REPRODUCTIVA.HIJOS_NACIDOS_VIVOS.above_2,38,418,15,291,0.093,0.783,-2.369,1.26E-17,1.27E-16,0.146,0.667,1,,,,0.06,2.46E-24,1.04E-22,-0.062,0.363,0.624,4.90%,8.33%,0.034
MEDICAL_RECORD.COVID_SEQUELS,HISTORIA_MEDICA.SECUELAS_COVID,7,159,17,176,0.093,0.783,-0.196,0.593,0.631,-0.843,0.0738,1,-0.767,0.00204,0.00805,0.008,0.298,0.388,-0.107,0.205,0.449,8.81%,4.22%,-0.046
MEDICAL_RECORD.RENAL_INSUFFICIENCY,HISTORIA_MEDICA.INSUFICIENCIA_RENAL,2,6,73,1042,0.0948,0.784,-9.152,0.000000508,0.00000124,1.161,0.17,1,-1.476,0.172,0.333,0.076,0.00662,0.0146,0.119,0.632,0.813,6.55%,25.00%,0.185
DISEASE_FAMILY_MEMBERS.MOTHER_HYPERTENSION,ENFERMEDAD_FAMILIARES.MADRE_HIPERTENSION,17,341,55,666,0.0979,0.795,-0.981,0.0000039,0.00000827,-0.565,0.051,1,-0.604,0.0000673,0.000328,0.009,0.0244,0.0473,0.176,0.000657,0.00612,7.63%,4.75%,-0.029
INBODY.BFM_of_Right_Leg.above_3.2,INBODY.BFM_of_Right_Leg.above_3·2,61,742,13,273,0.104,0.814,1.296,0.0000000183,0.0000000542,0.556,0.0882,1,-1.324,2.49E-19,3.45E-18,0.004,0.422,0.516,0.044,0.427,0.669,4.55%,7.60%,0.031
INBODY.BFM_of_Left_Arm.above_1.6,INBODY.BFM_of_Left_Arm.above_1·6,61,743,13,272,0.108,0.814,0.916,0.0000592,0.000109,0.479,0.144,1,-1.442,4.69E-22,6.95E-21,0.013,0.00562,0.0126,0.078,0.17,0.399,4.56%,7.59%,0.03
INBODY.BFM_of_Trunk.above_12,INBODY.BFM_of_Trunk.above_12,62,759,12,256,0.11,0.814,1.031,0.0000059,0.0000123,0.509,0.124,1,-0.94,2.6E-10,0.00000000203,0.008,0.0827,0.134,0.061,0.279,0.54,4.48%,7.55%,0.031
INBODY.FFM_of_Left_Leg.above_7.31,INBODY.FFM_of_Left_Leg.above_7·31,11,240,63,775,0.112,0.814,-0.576,0.0444,0.0564,-0.509,0.222,1,3.51,0,0,-0.047,1.6E-13,1.73E-12,0.192,0.00821,0.0396,7.52%,4.38%,-0.031
INBODY.FFM_PC__of_Right_Leg.above_85.5,INBODY.FFM_PC__of_Right_Leg.above_85·5,30,515,44,500,0.116,0.814,1.98,1.46E-19,1.8E-18,-0.062,0.811,1,0.619,0.0000192,0.0000989,-0.045,3.64E-24,1.49E-22,0.044,0.391,0.642,8.09%,5.50%,-0.026
VISUAL_HEALTH.GLASSES_AGE.above_51,SALUD_VISUAL.ANTEOJOS_EDAD.above_51,14,121,27,426,0.116,0.814,-8.219,6.84E-26,1.82E-24,-0.113,0.778,1,-0.284,0.267,0.443,0.12,3.97E-21,1.14E-19,-0.131,0.129,0.328,5.96%,10.37%,0.044
REPRODUCTIVE_HEALTH.CHILDREN_BORN_ALIVE.above_4,SALUD_REPRODUCTIVA.HIJOS_NACIDOS_VIVOS.above_4,11,87,42,622,0.117,0.814,-5.897,2.91E-27,9.26E-26,0.185,0.634,1,,,,0.073,7.47E-16,1.21E-14,-0.149,0.099,0.269,6.33%,11.22%,0.049
HEARING_HEALTH.COLORING_GROWTH_TOOTH,SALUD_DENTAL.COLORACION_CRECIMIENTO_DENTAL,1,61,74,985,0.118,0.814,-2.689,7E-11,2.66E-10,-1.473,0.148,1,0.274,0.321,0.507,-0.004,0.594,0.681,0.126,0.206,0.449,6.99%,1.61%,-0.054
CLINICAL_METABOLIC_TEST.CHOLESTEROL.above_158,METABOLICOS.COLESTEROL.above_158,44,509,31,538,0.118,0.814,-0.975,0.000000868,0.00000202,0.253,0.306,1,-0.41,0.00229,0.00891,0.021,0.0000000435,0.000000261,0.101,0.0353,0.127,5.45%,7.96%,0.025
DISEASE_FAMILY_MEMBERS.SIBLINGS_TRIGLYCERIDES,ENFERMEDAD_FAMILIARES.HERMANOS_TRIGLICERIDOS,10,80,61,916,0.121,0.814,-3.025,1.23E-15,9.24E-15,0.549,0.134,1,-0.559,0.0386,0.104,0.014,0.0442,0.0797,0.141,0.092,0.259,6.24%,11.11%,0.049
INBODY.Obesity_Degree.above_123.25,INBODY.Obesity_Degree.above_123·25,62,762,12,253,0.122,0.814,1.01,0.0000102,0.0000207,0.48,0.148,1,-1.039,3.68E-12,3.3E-11,0.009,0.0374,0.0688,0.046,0.412,0.66,4.53%,7.52%,0.03
INBODY.FFM_of_Right_Arm.above_2.41,INBODY.FFM_of_Right_Arm.above_2·41,27,470,47,545,0.129,0.814,0.059,0.796,0.824,-0.372,0.221,1,2.756,0,0,-0.02,0.0000134,0.0000516,0.12,0.0353,0.127,7.94%,5.43%,-0.025
PAINS.THRESHOLD_PAIN,DOLORES.DOLOR_UMBRAL,3,16,72,1025,0.13,0.814,-4.853,0.00000000291,0.00000000929,0.903,0.166,1,-0.576,0.314,0.497,0.016,0.288,0.377,0.188,0.28,0.541,6.56%,15.79%,0.092
REPRODUCTIVE_HEALTH.ABDOMINAL_PAIN.above_2,SALUD_REPRODUCTIVA.DOLOR_ABDOMINAL.above_2,5,131,48,599,0.134,0.814,-0.562,0.0543,0.0682,-0.559,0.249,1,,,,-0.021,0.000682,0.00179,0.038,0.635,0.814,7.42%,3.68%,-0.037
VISUAL_HEALTH.GLASSES_AGE.above_28.5,SALUD_VISUAL.ANTEOJOS_EDAD.above_28·5,35,407,6,140,0.136,0.814,-4.711,4.19E-19,4.96E-18,-0.354,0.513,1,-0.871,0.00189,0.00752,0.125,4.23E-29,2.43E-27,-0.242,0.018,0.0732,4.11%,7.92%,0.038
INBODY.FFM_PC__of_Left_Leg.above_80.2,INBODY.FFM_PC__of_Left_Leg.above_80·2,49,759,25,256,0.137,0.814,4.167,1.49E-40,2.85E-38,0.028,0.92,1,0.735,0.0000306,0.000156,-0.064,2.79E-29,1.69E-27,0.064,0.267,0.526,8.90%,6.06%,-0.028
